AuthID,First Name,Last Name,Birthday,Country of Residence,Hrs Writing per Day
AS443,Abraham,Stackhouse,01-07-2147,Norway,6
AW980,Amelia,"Wangerin, Jr.",26-03-2141,New Zealand,16
AI923,Anastasia,Inez,30-03-2148,New Zealand,11
AM329,Arthur,McCrumb,13-03-2148,New Zealand,3
AH957,Arturo,Hijuelos,09-01-2129,United Kingdom,8
BH149,Bernard,Hopf,27-11-2122,United States,1
BT132,Bianca,Thompson,28-01-2150,United States,5
BL857,Bravig,Lewisohn,21-01-2238,United States,11
BM856,Burton,Malamud,18-01-2145,Brazil,6
CS190,Carolyn,Segal,24-09-2133,United States,7
CF829,Charles,Fenimore,18-03-2120,Norway,7
CW626,Clifford,Wolitzer,01-08-2143,United Kingdom,8
DF413,Darryl,Fleischman,07-12-2131,Germany,16
DB605,David,Beam,26-02-2157,United States,5.13
EH487,Elizabeth,Herbach,22-01-2157,New Zealand,0
EK605,Elmer,Komroff,11-07-2129,Norway,6
GG800,Gloria,Green,19-09-2156,Hong Kong,8
GH671,Grace,Harrison,08-04-2161,United States,6
HM751,Hamlin,Myrer,29-01-2225,Brazil,9
HB302,Hillary,Barnhardt,07-03-2154,New Zealand,4
JH502,Jill,Hergesheimer,15-06-2156,Canada,8
JS525,John W.,Spanogle,10-08-2149,United Kingdom,10
JK592,Jonathan,Kotzwinkle,03-02-2151,Germany,6
KY296,Kathy,Yglesias,03-04-2151,Brazil,8
KD840,Kenneth,Douglas,24-09-2163,South Africa,3
KE397,Kris,Elegant,26-08-2149,Hong Kong,5
LL585,Langston,Lippman,02-10-2147,New Zealand,0
LN356,Leonard,Nabokov,29-09-2169,United States,1
LK915,Lori,Kaan,27-03-2147,China,6
LD375,Lynne,Danticat,19-08-2155,New Zealand,8
MW974,Malin,Wolff,31-01-2141,Hong Kong,6
OL640,Oliver,Lowry,29-08-2155,Netherlands,4
PH273,Patricia,Hazzard,27-04-2146,Singapore,5
PA878,Philip,Antrim,22-04-2148,Netherlands,7
PB147,Phoebe,Brown,21-08-2149,Hong Kong,13
RL217,R.M.,Larner,26-03-2130,China,9
RM781,Robert,Milofsky,12-01-2157,United States,10
RP438,Robert,Plimpton,11-11-2160,Canada,13
UK129,Ursula,Karénine,25-02-2156,United Kingdom,9
WH901,Ward,Haigh,07-10-2153,Brazil,7
WB149,Wendell,Barton,25-10-2138,United States,2
